#    L    TT             EE             TE             PP             TP          
   282    0.46531E+04    0.61175E+01    0.10709E+03    0.18438E+07    0.81508E+03
   283    0.46224E+04    0.62695E+01    0.10804E+03    0.18365E+07    0.80881E+03
   284    0.45914E+04    0.64233E+01    0.10896E+03    0.18293E+07    0.80261E+03
   285    0.45603E+04    0.65790E+01    0.10985E+03    0.18221E+07    0.79647E+03
   286    0.45288E+04    0.67365E+01    0.11070E+03    0.18150E+07    0.79040E+03
   287    0.44970E+04    0.68957E+01    0.11154E+03    0.18079E+07    0.78438E+03
   288    0.44652E+04    0.70566E+01    0.11233E+03    0.18009E+07    0.77843E+03
   289    0.44331E+04    0.72192E+01    0.11309E+03    0.17939E+07    0.77254E+03
   290    0.44008E+04    0.73834E+01    0.11382E+03    0.17870E+07    0.76670E+03
   291    0.43684E+04    0.75497E+01    0.11451E+03    0.17801E+07    0.76093E+03
   292    0.43355E+04    0.77173E+01    0.11517E+03    0.17732E+07    0.75521E+03
   293    0.43028E+04    0.78856E+01    0.11579E+03    0.17664E+07    0.74955E+03
   294    0.42697E+04    0.80561E+01    0.11639E+03    0.17596E+07    0.74394E+03
   295    0.42368E+04    0.82274E+01    0.11694E+03    0.17529E+07    0.73839E+03
   296    0.42035E+04    0.84010E+01    0.11746E+03    0.17462E+07    0.73289E+03
   297    0.41702E+04    0.85746E+01    0.11795E+03    0.17395E+07    0.72745E+03
   298    0.41366E+04    0.87505E+01    0.11840E+03    0.17329E+07    0.72206E+03
   299    0.41030E+04    0.89279E+01    0.11881E+03    0.17263E+07    0.71671E+03
   300    0.40693E+04    0.91053E+01    0.11918E+03    0.17198E+07    0.71142E+03
   301    0.40355E+04    0.92842E+01    0.11952E+03    0.17133E+07    0.70618E+03
   302    0.40017E+04    0.94639E+01    0.11982E+03    0.17068E+07    0.70099E+03
   303    0.39678E+04    0.96451E+01    0.12009E+03    0.17004E+07    0.69585E+03
   304    0.39338E+04    0.98278E+01    0.12031E+03    0.16940E+07    0.69075E+03
   305    0.38998E+04    0.10011E+02    0.12049E+03    0.16876E+07    0.68570E+03
   306    0.38658E+04    0.10194E+02    0.12064E+03    0.16813E+07    0.68070E+03
   307    0.38317E+04    0.10378E+02    0.12075E+03    0.16750E+07    0.67575E+03
   308    0.37977E+04    0.10565E+02    0.12083E+03    0.16688E+07    0.67084E+03
   309    0.37637E+04    0.10751E+02    0.12086E+03    0.16626E+07    0.66598E+03
   310    0.37296E+04    0.10936E+02    0.12086E+03    0.16564E+07    0.66116E+03
   311    0.36956E+04    0.11124E+02    0.12081E+03    0.16503E+07    0.65639E+03
   312    0.36617E+04    0.11312E+02    0.12074E+03    0.16442E+07    0.65166E+03
   313    0.36278E+04    0.11500E+02    0.12061E+03    0.16381E+07    0.64698E+03
   314    0.35939E+04    0.11689E+02    0.12046E+03    0.16320E+07    0.64234E+03
   315    0.35602E+04    0.11877E+02    0.12026E+03    0.16260E+07    0.63774E+03
   316    0.35265E+04    0.12066E+02    0.12003E+03    0.16201E+07    0.63319E+03
   317    0.34928E+04    0.12254E+02    0.11975E+03    0.16141E+07    0.62868E+03
   318    0.34593E+04    0.12443E+02    0.11944E+03    0.16082E+07    0.62421E+03
   319    0.34259E+04    0.12632E+02    0.11909E+03    0.16023E+07    0.61978E+03
   320    0.33926E+04    0.12821E+02    0.11871E+03    0.15965E+07    0.61539E+03
